id,title,release_date,genres,original_language,overview,popularity,vote_count,vote_average
13,Forrest Gump,1994-06-23,"Comedy, Drama, Romance",en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",158.453,26542,8.475
429,"The Good, the Bad and the Ugly",1966-12-22,Western,it,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",76.752,8232,8.5
769,GoodFellas,1990-09-12,"Drama, Crime",en,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",213.006,12346,8.466
12477,Grave of the Fireflies,1988-04-16,"Animation, Drama, War",ja,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.6,5220,8.464
11216,Cinema Paradiso,1988-11-17,"Drama, Romance",it,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",37.819,4182,8.453
346,Seven Samurai,1954-04-26,"Action, Drama",ja,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",52.101,3474,8.453
637,Life Is Beautiful,1997-12-20,"Comedy, Drama",it,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,66.326,12687,8.451
372754,Dou kyu sei – Classmates,2016-02-20,"Romance, Animation",ja,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",17.934,350,8.447
1058694,Radical,2023-10-19,Drama,en,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to break through his students’ apathy and unlock their curiosity, their potential… and maybe even their genius.",65.654,348,8.443
704264,Primal: Tales of Savagery,2019-11-21,"Action, Adventure, Animation, Drama",en,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",16.666,303,8.4
550,Fight Club,1999-10-15,Drama,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",239.457,28437,8.442
539,Psycho,1960-06-22,"Horror, Thriller, Mystery",en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",192.622,9704,8.434
157336,Interstellar,2014-11-05,"Adventure, Drama, Science Fiction",en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,388.917,34210,8.433
598,City of God,2002-08-30,"Drama, Crime",pt,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",87.561,7043,8.428
696374,Gabriel's Inferno,2020-05-29,"Romance, Drama",en,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",15.061,2391,8.4
667257,Impossible Things,2021-06-17,"Family, Drama",es,"Matilde is a woman who, after the death of her husband—a man who constantly abused her—finds her new best friend in Miguel, her young, insecure, disoriented and even dealer neighbor",19.546,371,8.4
255709,Hope,2013-10-02,Drama,ko,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",28.21,663,8.425
311,Once Upon a Time in America,1984-05-23,"Drama, Crime",en,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",79.576,5152,8.422
510,One Flew Over the Cuckoo's Nest,1975-11-19,Drama,en,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",67.021,10077,8.4
4935,Howl's Moving Castle,2004-09-09,"Fantasy, Animation, Adventure",ja,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",107.995,9403,8.412
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,"Adventure, Fantasy, Action",en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",144.481,24278,8.4
724089,Gabriel's Inferno: Part II,2020-07-31,"Romance, Drama",en,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",10.5,1500,8.4
324857,Spider-Man: Into the Spider-Verse,2018-12-06,"Animation, Action, Adventure, Science Fiction",en,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",134.075,14945,8.405
40096,A Dog's Will,2000-09-15,"Comedy, Drama, Fantasy",pt,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",15.524,1054,8.398
761053,Gabriel's Inferno: Part III,2020-11-19,"Romance, Drama",en,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,33.71,1043,8.4
121,The Lord of the Rings: The Two Towers,2002-12-18,"Adventure, Fantasy, Action",en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",87.77,21090,8.4
1891,The Empire Strikes Back,1980-05-20,"Adventure, Action, Science Fiction",en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",79.272,16396,8.4
568332,Taylor Swift: Reputation Stadium Tour,2018-12-31,Music,en,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",18.713,362,8.4
14537,Harakiri,1962-09-15,"Action, Drama, History",ja,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",21.225,920,8.385
244786,Whiplash,2014-10-10,"Drama, Music",en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",166.704,14574,8.4
423,The Pianist,2002-09-17,"Drama, War",en,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",60.936,8826,8.383
620249,The Legend of Hei,2019-08-27,"Animation, Fantasy, Action",zh,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",19.858,338,8.38
378064,A Silent Voice: The Movie,2016-09-17,"Animation, Drama",ja,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",50.626,3766,8.38
807,Se7en,1995-09-22,"Crime, Mystery, Thriller",en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",289.313,20270,8.4
569094,Spider-Man: Across the Spider-Verse,2023-05-31,"Animation, Action, Adventure, Science Fiction",en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",240.73,6200,8.369
27205,Inception,2010-07-15,"Action, Science Fiction, Adventure",en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",382.253,35633,8.367
1160164,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,Music,en,"The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour.",50.956,327,8.364
820067,The Quintessential Quintuplets Movie,2022-05-20,"Animation, Comedy, Romance",ja,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",36.715,356,8.358
567,Rear Window,1954-08-01,"Thriller, Mystery",en,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,68.575,6227,8.4
274,The Silence of the Lambs,1991-02-14,"Crime, Drama, Thriller",en,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",19.618,15716,8.3
73,American History X,1998-07-01,Drama,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",89.995,11185,8.347
128,Princess Mononoke,1997-07-12,"Adventure, Fantasy, Animation",ja,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",81.772,7658,8.3
92321,Hotarubi no Mori e,2011-09-17,"Romance, Animation, Fantasy",ja,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.6,1063,8.324
914,The Great Dictator,1940-10-15,"Comedy, War",en,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,77.614,3211,8.323
644479,Dedicated to my ex,2019-11-01,"Drama, Comedy",es,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",10.64,494,8.3
18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,"Animation, Science Fiction, Action, Drama",ja,"Seele orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can trigger Third Impact and Instrumentality under his control.",73.817,1489,8.3
105,Back to the Future,1985-07-03,"Adventure, Comedy, Science Fiction",en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",95.319,19234,8.317
207,Dead Poets Society,1989-06-02,Drama,en,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",49.021,10778,8.3
1139087,Once Upon a Studio,2023-09-24,"Animation, Family, Fantasy, Comedy",en,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo?",42.601,319,8.3
599,Sunset Boulevard,1950-08-10,Drama,en,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,78.954,2452,8.3
12493,High and Low,1963-03-01,"Drama, Crime, Thriller",ja,A shoe company executive who has mortgaged everything he has becomes a victim of extortion when his chauffeur's son is kidnapped and is conflicted over whether he should pay the ransom.,24.961,824,8.311
101,Léon: The Professional,1994-09-14,"Crime, Drama, Action",en,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",87.72,14280,8.3
10494,Perfect Blue,1998-02-28,"Animation, Thriller",ja,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.",67.493,2448,8.307
3782,Ikiru,1952-10-09,Drama,ja,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",25.091,1051,8.303
3082,Modern Times,1936-02-05,"Comedy, Drama",en,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",29.476,3552,8.3
335,Once Upon a Time in the West,1968-12-21,"Drama, Western",it,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",52.77,4115,8.289
995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,"Animation, Family, Adventure, Fantasy",en,"The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",37.233,495,8.288
901,City Lights,1931-02-01,"Comedy, Romance, Drama",en,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",35.144,2060,8.282
28,Apocalypse Now,1979-08-15,"Drama, War",en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",82.91,7875,8.282
77338,The Intouchables,2011-11-02,"Drama, Comedy",fr,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,104.839,16751,8.279
447362,Life in a Year,2020-11-27,"Drama, Romance",en,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",50.998,1762,8.276
16672,Woman in the Dunes,1964-02-15,"Drama, Thriller",ja,A vacationing entomologist suffers extreme physical and psychological trauma after being taken captive by the residents of a poor seaside village and made to live with a woman whose life task is shoveling sand for them.,37.138,388,8.276
29259,Le Trou,1960-03-18,"Drama, Thriller, Crime",fr,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",30.444,438,8.273
1585,It's a Wonderful Life,1946-12-20,"Drama, Family, Fantasy",en,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",64.234,4109,8.272
632632,Given,2020-08-22,"Animation, Drama, Music, Romance",ja,"The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.",18.02,374,8.269
975,Paths of Glory,1957-10-25,"War, Drama, History",en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,33.66,2743,8.269
527641,Five Feet Apart,2019-03-14,"Romance, Drama",en,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",56.506,5416,8.269
637920,Miracle in Cell No. 7,2019-10-10,Drama,tr,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",34.888,4307,8.267
652837,"Josee, the Tiger and the Fish",2020-12-25,"Animation, Drama, Romance",ja,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",28.738,424,8.263
10376,The Legend of 1900,1998-10-28,"Drama, Music",it,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",27.176,2179,8.262
693134,Dune: Part Two,2024-02-27,"Science Fiction, Adventure",en,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",1488.917,3480,8.256
25237,Come and See,1985-10-17,"Drama, War",ru,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",29.081,1357,8.261
670,Oldboy,2003-11-21,"Drama, Thriller, Mystery, Action",ko,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",65.25,8272,8.26
8587,The Lion King,1994-06-24,"Family, Animation, Drama",en,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",145.92,17650,8.256
299534,Avengers: Endgame,2019-04-24,"Adventure, Science Fiction, Action",en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",248.697,24806,8.255
630566,Clouds,2020-10-09,"Music, Drama, Romance",en,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",31.276,980,8.3
533514,Violet Evergarden: The Movie,2020-09-18,"Animation, Fantasy, Romance, Drama",ja,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",35.311,391,8.3
508965,Klaus,2019-11-08,"Animation, Family, Adventure, Comedy, Fantasy",en,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",62.436,3859,8.25
572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,"Animation, Romance, Drama, Fantasy",ja,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",20.163,503,8.234
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,"Animation, Action, Science Fiction, Drama",ja,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",29.977,754,8.248
299536,Avengers: Infinity War,2018-04-25,"Adventure, Action, Science Fiction",en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",292.211,28815,8.247
490132,Green Book,2018-11-16,"Drama, History",en,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",352.981,11126,8.243
618344,Justice League Dark: Apokolips War,2020-05-05,"Animation, Action, Science Fiction",en,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",30.717,1409,8.243
315162,Puss in Boots: The Last Wish,2022-12-07,"Animation, Adventure, Fantasy, Comedy, Action, Family",en,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",179.831,7219,8.2
42269,We All Loved Each Other So Much,1974-12-21,"Drama, Comedy",it,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",12.964,511,8.239
265177,Mommy,2014-09-19,Drama,fr,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",28.934,2636,8.238
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,"Action, Animation, Adventure, Fantasy, Thriller",ja,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",79.079,3677,8.2
290098,The Handmaiden,2016-06-01,"Thriller, Drama, Romance",ko,"In 1930s Korea, a swindler and a young woman pose as a Japanese count and a handmaiden to seduce a Japanese heiress and steal her fortune.",82.295,3536,8.226
110420,Wolf Children,2012-07-21,"Animation, Family, Drama, Fantasy",ja,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",31.354,2194,8.226
